date,ticker,price
2002-07-02,VZ,16.96481
2002-07-03,VZ,17.151938
2002-07-05,VZ,17.749835
2002-07-08,VZ,17.77058
2002-07-09,VZ,17.222022
2002-07-10,VZ,16.641191
2002-07-11,VZ,17.332657
2002-07-12,VZ,16.27241
2002-07-15,VZ,16.203263
2002-07-16,VZ,16.134121
2002-07-17,VZ,16.300069
2002-07-18,VZ,15.696194
2002-07-19,VZ,14.981682
2002-07-22,VZ,13.206931
2002-07-23,VZ,12.644539
2002-07-24,VZ,12.83815
2002-07-25,VZ,12.722907
2002-07-26,VZ,13.266856
2002-07-29,VZ,14.027464
2002-07-30,VZ,13.921441
2002-07-31,VZ,15.212169
2002-08-01,VZ,14.45617
2002-08-02,VZ,14.741974
2002-08-05,VZ,13.898391
2002-08-06,VZ,13.769318
2002-08-07,VZ,13.584928
2002-08-08,VZ,13.690955
2002-08-09,VZ,13.944487
2002-08-12,VZ,13.87534
2002-08-13,VZ,13.552661
2002-08-14,VZ,14.267171
2002-08-15,VZ,14.036685
2002-08-16,VZ,14.608294
2002-08-19,VZ,15.484144
2002-08-20,VZ,14.658998
2002-08-21,VZ,14.912535
2002-08-22,VZ,15.115364
2002-08-23,VZ,14.585243
2002-08-26,VZ,14.935586
2002-08-27,VZ,14.69127
2002-08-28,VZ,14.27178
2002-08-29,VZ,14.244121
2002-08-30,VZ,14.290222
2002-09-03,VZ,13.534223
2002-09-04,VZ,13.829243
2002-09-05,VZ,13.561882
2002-09-06,VZ,13.75088
2002-09-09,VZ,13.760097
2002-09-10,VZ,14.078173
2002-09-11,VZ,14.645168
2002-09-12,VZ,14.30866
2002-09-13,VZ,13.990589
2002-09-16,VZ,14.294831
2002-09-17,VZ,14.078173
2002-09-18,VZ,13.91222
2002-09-19,VZ,13.56649
2002-09-20,VZ,13.672512
2002-09-23,VZ,13.695563
2002-09-24,VZ,13.253027
2002-09-25,VZ,13.525002
2002-09-26,VZ,13.672512
2002-09-27,VZ,12.948785
2002-09-30,VZ,12.649151
2002-10-01,VZ,13.635638
2002-10-02,VZ,13.990589
2002-10-03,VZ,15.166073
2002-10-04,VZ,15.488752
2002-10-07,VZ,14.935586
2002-10-08,VZ,15.105865
2002-10-09,VZ,14.998569
2002-10-10,VZ,15.371779
2002-10-11,VZ,16.416783
2002-10-14,VZ,16.192852
2002-10-15,VZ,16.374797
2002-10-16,VZ,16.211517
2002-10-17,VZ,16.682696
2002-10-18,VZ,16.31415
2002-10-21,VZ,16.645379
2002-10-22,VZ,17.611067
2002-10-23,VZ,17.135218
2002-10-24,VZ,17.209866
2002-10-25,VZ,17.060576
2002-10-28,VZ,17.545756
2002-10-29,VZ,17.074572
2002-10-30,VZ,17.839661
2002-10-31,VZ,17.615737
2002-11-01,VZ,18.002946
2002-11-04,VZ,18.296851
2002-11-05,VZ,18.520778
2002-11-06,VZ,18.194218
2002-11-07,VZ,17.779016
2002-11-08,VZ,18.04493
2002-11-11,VZ,17.499107
2002-11-12,VZ,17.904977
